date,volume
2022-04-02,128093
2022-04-01,154439
2022-03-31,137329
2022-03-30,168047
2022-03-29,176761
2022-03-28,167914
2022-03-27,138634
2022-03-26,145352
2022-03-25,148375
2022-03-24,150914
2022-03-23,154706
2022-03-22,156442
2022-03-21,155353
2022-03-20,107108
2022-03-19,112597
2022-03-18,126073
2022-03-17,121797
2022-03-16,160354
2022-03-15,142146
2022-03-14,154794
2022-03-13,112695
2022-03-12,118942
2022-03-11,134097
2022-03-10,137143
2022-03-09,147233
2022-03-08,124779
2022-03-07,126188
2022-03-06,114054
2022-03-05,111329
2022-03-04,128979
2022-03-03,132029
2022-03-02,146399
2022-03-01,162554
2022-02-28,137077
2022-02-27,124935
2022-02-26,148522
2022-02-25,140520
2022-02-24,142173
2022-02-23,137184
2022-02-22,143568
2022-02-21,137767
2022-02-20,140524
2022-02-19,121404
2022-02-18,152302
2022-02-17,147518
2022-02-16,125407
2022-02-15,156388
2022-02-14,124960
2022-02-13,122995
2022-02-12,134078
